squid767,1467139948.57135,a,0,1
squid767,1467139950.840152,b,0,1
squid767,1467139952.616285,smile,1,1
squid767,1467139959.623073,this is the opposite of awesome,0,1
squid767,1467139961.666314,banana,0,1
squid767,1467139963.064301,frown,1,1
squid767,1467139981.060489,smile,1,1
squid767,1467139982.452788,smile,1,1
squid767,1467139985.727654,frown,1,1
squid767,1467139987.729845,wave,1,1
squid767,1467140026.638684,start of new test for chat off chat on,0,1
squid767,1467140029.19985,a,0,1
squid767,1467140029.778609,b,0,1
squid767,1467140030.82551,smile,1,1
squid767,1467140034.895376,wave,1,1
squid767,1467140038.326236,frown,1,1
squid767,1467140049.582598,take it off!,0,1
squid767,1467140056.25396,frown,1,1
squid767,1467140065.307473,that should not have happened,0,1
squid767,1467140067.770401,smile,1,1
squid767,1467140074.751468,get it on!,0,1
